#OS,Criado por,Tipo OS,Dt Criação,Viab/PE,Prazo,Prev Entrega,Produto,Velocidade,#IPs,Cliente,Usuário Final,Projeto,Usuário/Endereço Atendido,Status,Obs Status,Data de entrega,Materiais,Serv Telbrax,Serv Terceiros,Custo Total,Materiais,Serv Telbrax,Serv Terceiros,Custo Total,Dados Completos?,Diferença de Custo
OS306/2011,Mário,Implantação,06/12/11,,15,21/12/2011,IP Flex,5 Mbps,,Axial,,Implantação de IP Flex 5 Mbps Axial Mulher,"Ponta A: Av. Bernardo Monteiro, 1472, Funcionários (Prédio ao lado - Axial Mulher)",Concluído,,21/12/2011,"4.985,95","420,00","1.543,50","6.949,45","2.944,28","420,00","1.435,00","4.799,28",,"2.150,17"
OS307/2011,Mário,Implantação,06/12/11,,25,31/12/2011,EILD,1 Mbps,,CTBC,Prospectar Intermediação Imobiliária Corporativa,Implantação de EILD 512 Kbps,"Ponta A: Rua Pernambuco, 453, sala 28 - Bairro Funcionários BH/ Ponta B: Av. do Contorno, 5351, 16º andar - Cruzeiro - BH/MG",Concluído,,15/12/2011,"580,09","270,00","42,60","892,69",,,,"0,00",,"892,69"
OS308/2011,Pedro,Manutenção,05/12/11,,,07/12/2011,,,,Telbrax,,Troca de poste Cemig ,Av Carlos Luz atras do Mineirão,Concluído,,05/11/2011,,,,"0,00",,,,"0,00",,"0,00"
OS309/2011,Mário,Implantação,07/12/11,,25,01/01/2012,EILD,100 Mbps,,WKVE,,Implantação de EILD 100 Mbps,"Ponta A: Rua Jorge Marine, 571 - Belvedere - BH/MG (Serra do Curral)/Ponta B: Rua Engenho do Sol, 525, Engenho Nogueira - Belo Horizonte/MG",Concluído,,30/12/2011,"11.382,83","790,00","3.222,00","15.394,83","9.498,52","790,00","2.842,00","13.130,52",,"2.264,31"
OS310/2011,Pedro,Manutenção,12/12/11,,4,16/12/2011,,,,,,Manutenções próximas ao Shopping BH,"Av Luiz Paulo Franco, 241",Concluído,,27/12/2011,,,,"0,00","12,40","0,00","380,00","392,40",,"-392,40"
OS311/2011,Mário,Manutenção,12/12/11,,1,13/12/2011,,,,Telbrax,,Manutenção Rua Domingos Vieira 586,"Rua Domingos Vieira, 586, Sta Efigênia",Em Execução,Planejamento de Execução (Djalma),,,,,"0,00",,,,"0,00",,"0,00"
OS312/2011,Mário,Implantação,13/12/11,,2,15/12/2011,EILD,2 Mbps,,Intelig,Microcity,Implantação EILD 2 Mbps,"Ponta A: Rua Jornalista Geraldo Teixeira da Costa, 61, Floresta/Ponta B: Alameda do Ingá, 650, Nova Lima - MG",Concluído,,14/12/2011,"517,07","95,00","0,00","612,07",,,,"0,00",,"612,07"
OS313/2011,Mário,Implantação,13/12/11,,10,15/12/2011,EILD,2Mbps,,Intelig,Cobra Tecnologia,Implantação de EILD 2 Mbps,"Ponta A: Rua Jornalista Geraldo Teixeira da Costa, 61, Floresta/Ponta B: Rua Guajajaras, 931, Lourdes",Concluído,,27/12/2011,"4.639,19","450,00","3.641,13","8.730,32","3.310,83","450,00","1.986,00","5.746,83",,"2.983,49"
OS314/2011,Pedro,Manutenção,03/12/11,,,,,,,Telbrax,,Manutenção em quadros elétricos internos,"Rua Pirapetinga , 322 - Serra",Concluído,,03/12/2011,"294,16","0,00","450,00","744,16",,,,"0,00",,"744,16"
OS315/2011,Mário,Mudança de Endereço,13/12/11,,1,15/12/2011,Connect Storage,1 Mbps,,CIMCORP,MGS,Mudança de endereço CIMCORP - MGS -  Fibra Apagada -Rota Tomé de Souza,,Concluído,,31/12/2011,"10.144,25","2.300,00","17.671,50","30.115,75","4.484,25","2.300,00","8.885,10","15.669,35",,"14.446,40"
OS316/2011,Mário,Mudança de Endereço,13/12/11,,,15/12/2011,IP Flex,,,CIMCORP,MGS,Mudança de endereço CIMCORP - MGS - IP Flex - Rota Tomé de Souza,,Concluído,,31/12/2011,,,,"0,00",,,,"0,00",,"0,00"
OS317/2011,Mário,Mudança de Endereço,13/12/11,,,15/12/2011,Connect Flex,,,CIMCORP,MGS,Mudança de endereço CIMCORP - MGS -  Connect Flex - Rota Tomé de Souza,,Concluído,,31/12/2011,"3.044,46","0,00","250,00","3.294,46",,,,"0,00",,"3.294,46"
OS318/2011,Mário,Mudança de Endereço,14/12/11,,12,26/12/2011,Connect Flex,3 Mbps,,Net Service,,Implantação Connect Flex (Cincão),"Ponta A: Rua Padre Rolim, 491 - Sta Efigênia/ Ponta B: Av. Apio Cardoso, 577 - Galpão 3 - Armazém 1 - Contagem (Cincão)",Concluído,,06/01/2012,"9.071,56","620,00","2.666,10","12.357,66","5.595,04","620,00","2.955,00","9.170,04",,"3.187,62"
OS319/2011,Mário,Implantação,15/12/11,,20,04/01/2012,IP Flex,5 Mbps,,COOPERATIVA DE USUÁRIOS DE ASSISTÊNCIA MÉDICA HOSPITALAR DO SICOOB LTDA,,Implantação de IP Flex 5 Mbps,"Ponta A: Alameda da Serra, 46,Nova Lima - MG",Concluído,,02/01/2012,"1.754,63","345,00","566,90","2.666,53","356,07","345,00","752,78","1.453,85",,"1.212,68"
OS320/2011,Djalma,Expansão,15/12/11,,60,13/02/2012,,,,Telbrax,,Rede Subterrânea Lagoa Santa,"Av. Acadêmico Nilo Figueiredo, da base aérea até Hotel Ramada",Em Execução,Dependente de As Built (José Fernando),,"36.035,00",,,"36.035,00",,,,"0,00",,"36.035,00"
OS321/2011,Mário,Mudança de Endereço,16/12/11,,25,10/01/2012,Fibra Apagada,,,UNIMED,,Mudança de endereço de circuito de fibra apagada BHE-07-0001-00-007 para Jaceguaia,Mudando de Rua Timbiras para Rua Jaceguai,Concluído,,10/01/2012,"4.520,33","515,00","1.115,20","6.150,53","2.114,50","515,00","876,00","3.505,50",,"2.645,03"
OS322/2011,Mário,Implantação,16/12/11,,,23/12/2011,EILD,50 Mbps,,Century Telecom,,Implantação de EILD para conexão da Century ao  PTT -SP(SPO B) ,"Ponta A: Av. Raja Gabáglia, 1781. Luxemburgo/ Ponta B: PTT-SP (SPO B) - Rua Bento Branco de Andrade Filho, 61, Santo Amaro - SP/SP",Concluído,,02/02/2012,,,,"0,00",,,,"0,00",,"0,00"
OS323/2011,Mário,Alteração de Serviço,20/12/11,,6,26/12/2011,Connect Flex,5 Mbps,,Net Service,,Alteração de velocidade de circuito de 3 Mbps para 5 Mbps,"Ponta A: Rua Padre Rolim, 491 - Sta Efigênia/ Ponta B: Av. Apio Cardoso, 577 - Galpão 3 - Armazém 1 - Contagem (Cincão)",Concluído,,06/01/2012,,,,"0,00",,,,"0,00",,"0,00"
OS324/2011,Mário,Implantação,23/12/11,,10,02/01/2012,Connect Flex Multi,10 Mbps,,CIMCORP,MGS,Implantação de Connect Flex Multi 10 Mbps (Ponta R Rio de Janeiro),"Ponta A: Av. Álvares Cabral, 200 -Centro / Ponta B: Rua Rio de Janeiro, 1212, Funcionários",Concluído,,11/05/2012,"3.034,84","680,00","729,00","4.443,84",,,,"0,00",,"4.443,84"
OS325/2011,Mário,Implantação,26/12/11,,,02/01/2012,IP Flex,1 Mbps,,BHTEC,,Implantação de IP Flex 1 Mbps,"Ponta A: Professor José Vieira Mendonça, 770, Bairro Engenho Nogueira - Belo Horizonte - MG",Concluído,,30/12/2011,"4.455,66","1.010,00","2.132,50","7.598,16",,,,"0,00",,"7.598,16"
OS326/2011,Mário,Implantação,26/12/11,,,02/01/2012,IP Flex,1 Mbps,,BHTEC,,Implantação de IP Flex 1 Mbps,"Ponta A: Professor José Vieira Mendonça, 770, Bairro Engenho Nogueira - Belo Horizonte - MG",Concluído,,30/12/2011,,,,"0,00",,,,"0,00",,"0,00"
OS327/2011,Mário,Implantação,26/12/11,,,02/01/2012,IP Flex,1 Mbps,,BHTEC,,Implantação de IP Flex 1 Mbps,"Ponta A: Professor José Vieira Mendonça, 770, Bairro Engenho Nogueira - Belo Horizonte - MG",Concluído,,30/12/2011,,,,"0,00",,,,"0,00",,"0,00"
OS328/2011,Mário,Implantação,26/12/11,,,02/01/2012,IP Flex,2 Mbps,,BHTEC,,Implantação de IP Flex 2 Mbps,"Ponta A: Professor José Vieira Mendonça, 770, Bairro Engenho Nogueira - Belo Horizonte - MG",Concluído,,30/12/2011,,,,"0,00",,,,"0,00",,"0,00"
OS329/2011,Mario,Implantação,26/12/11,,,29/12/2011,EILD,4 Mbps,,Intelig,Axial,Implantação de EILD 1 Mbps para atendimento Axial ,"Ponta A: Rua Jornalista Teixeira da Costa, 61, Floresta/ Ponta B: Av. Bernardo Monteiro, 1436, 2 º andar, Funcionários",Concluído,,27/12/2011,,,,"0,00",,,,"0,00",,"0,00"
OS330/2011,Mário,Implantação,26/12/11,,,05/01/2012,Connect Flex,1 Mbps,,Banco BMG,,Implantação de EILD entre Sta Efigênia e Av. João Pinheiro,"Ponta A: Praça Hugo Werneck, 253 - Sta Efigênia / Ponta B: Av. João Pinheiro, 190 - Centro",Concluído,,05/01/2012,,,,"0,00",,,,"0,00",,"0,00"
OS331/2011,Mário,Implantação,27/12/11,,25,21/01/2012,EILD,600 Mbps,,Intelig,LINKSOL COMÉRCIO DE EQUIPAMENTOS ELETRONICOS LTDA,Implantação de EILD 600 Mbps,"Ponta A: BHE TIM Av. Raja Gabáglia, 1781, Luxemburgo/ Ponta B: Rua Javari, 205, Cachoerinha",Concluído,,11/01/2012,"1.514,36","90,00",,"1.604,36",,,,"0,00",,"1.604,36"
OS332/2011,Mário,Implantação,29/12/11,,15,13/01/2012,EILD,100 Mbps,,Global Crossing,PRIMESYS SOLUÇÕES EMPRESARIAIS,Implantação de EILD 100 Mbps,"Ponta A: Av. Brasil, 1438, sl 604, Funcionários -  BH/MG/ Ponta B: Rua da Bahia, 951, 5º andar, centro - BH/MG",Cancelada,,05/01/2012,,,,"0,00",,,,"0,00",,"0,00"
OS333/2011,Pedro,Manutenção,30/12/11,,,30/12/2011,,,,,,Manutenção de Rede Av. Raja Gabaglia,Av. Raja Gabaglia ,Concluído,,30/12/2011,,,,"0,00","296,70",,"881,36","1.178,06",,"-1.178,06"
OS334/2011,Pedro,Manutenção,27/12/11,,,27/11/2011,,,,,,Manutenção Rua Reginaldo de Souza com Rua Limeira,Rua Reginaldo de Souza com rua Limeira - Fonte Grande,Concluído,,27/11/2011,,,,"0,00","291,62",,"526,68","818,30",,"-818,30"
OS335/2011,Mário,Implantação,13/12/11,,20,02/01/2012,Connect Flex Multi,10 Mbps,,CIMCORP,MGS,Instalação de Connect Flex provisório e rádio,"Ponta A; Rua Paracatu, 526, Barro Preto/Ponta B: Rio de Janeiro, 1212, centro - BH/MG",Concluído,,30/12/2011,,,,"0,00",,,,"0,00",,"0,00"
OS336/2011,Mário,Mudança de Endereço,13/12/11,,,13/12/2011,,,,CIMCORP,CIMCORP, Cabo enterrado - Rota Provisória - Rota Rua da Bahia,"Ponta A: Getúlio Vargas,1420, Funcionários - BH/MG - Ponta B: Alvares Cabral, 200, Centro - BH/MG",Concluído,,30/01/2012,,,,"0,00",,,"5.265,00","5.265,00",,"-5.265,00"
OS337/2011,Mário,Mudança de Endereço,13/12/11,,20,02/01/2012,Fibra Apagada,,,CIMCORP,MGS,Mudança de endereço ponta A Fibra Apagada Cimcorp,"Ponta A(end antigo): Getúlio Vargas, 1420, Funcionários/Ponta A(nov end): Av. Alvares Cabral, 200, Centro",Concluído,,30/01/2011,,,,"0,00",,,,"0,00",,"0,00"
OS338/2011,Mário,Mudança de Endereço,13/12/11,,20,02/01/2012,IP Flex,10 Mbps,,CIMCORP,MGS,Mudança de endereço ponta A  IP Flex Cimcorp,"Ponta A(end antigo): Getúlio Vargas, 1420, Funcionários/Ponta A(nov end): Av. Alvares Cabral, 200, Centro",Concluído,,29/12/2011,,,,"0,00",,,,"0,00",,"0,00"
OS339/2011,Mário,Mudança de Endereço,13/12/11,,20,02/01/2012,Connect Flex,10 Mbps,,CIMCORP,MGS,Mudança de enderço ponta A Connect Flex Cimcorp,"Ponta A(end antigo): Getúlio Vargas, 1420, Funcionários/Ponta A(nov end): Av. Alvares Cabral, 200, Centro",Concluído,,29/12/2011,,,,"0,00",,,,"0,00",,"0,00"
OS340/2011,Paulo,Serviços técnicos,20/12/11,,2,22/12/2011,,,/22,Telbrax,,Implantação / instalação de um roteador no POP provisório da Unotel em SP,"Av. Alfredo Egídio de Souza Aranha, 75 Cj. 62, Vila Cruzeiro - 04726-170 - São Paulo, SP",Concluído,,22/12/2011,,,,"0,00",,,,"0,00",,"0,00"
OS341/2011,Djalma,Infraestrutura,13/12/11,,20,02/01/2012,,,,Cimcorp,MGS,"Construção de rede subterrânea para rota Principal passando pela Av. Augusto de Lima, Álvares Cabral e João Pinheiro","Av. Alvares Cabral, 200(MGS)",Concluído,,11/03/2012,"4.877,10",,"24.915,00","29.792,10","1.510,00",,"29.936,00","31.446,00",,"-1.653,90"
OS342/2011,Mário,Infraestrutura,13/12/11,,20,02/01/2012,,,,Cimcorp,MGS,Construção de rede subterrânea - PRODEMGE - Rota Rua da Bahia,"Rua da Bahia, 2277, (PRODEMGE)",Concluído,,20/03/2012,,,,"0,00","353,00",,"1.341,00","1.694,00",,"-1.694,00"
OS343/2011,Mário,Infraestrutura,13/12/11,,20,02/01/2012,,,,Cimcorp,MGS,Mudança de endereço / Lançamento de cabo - (PRODEMGE) Rota Rua da Bahia,"Rua da Bahia, 2277, (PRODEMGE)",Concluído,,21/03/2012,"3.137,71","875,00","1.377,40","5.390,11","1.725,50","875,00","1.196,00","3.796,50",,"1.593,61"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",,"0,00"
