#OS,Criado por,Tipo OS,Dt Criação,Viabilidade/PE,Prazo,Prev Entrega,Produto,Velocidade,#IPs,Cliente,Usuário Final,Projeto,Usuário/Endereço Atendido,Status,Obs Status,Data de entrega,Materiais,Serv Telbrax,Serv Terceiros,Custo Total,Materiais,Serv Telbrax,Serv Terceiros,Custo Total,Dados Completos?,Diferença de Custo
OS042/2012,Paulo,Implantação,03/02/2012,,20,03/02/2012,IP Flex,2 Mbps,,Compuline,,Implantação de IP Flex para atendimento da Compuline,"Ponta A: Rua Pirapetinga, 322/309 , Serra - BH/MG (POP Serra)",Concluído,,15/02/2012,"0,00","0,00","0,00","0,00","0,00",,,"0,00",Ok,"0,00"
OS043/2012,Mário,Implantação,03/02/2012,,20,23/02/2012,Connect Flex,10 Mbps,,Cultura Inglesa,,Implantação de um Connect Flex entre Matriz Cultura Inglesa e Suprema Informática,"Ponta A: Rua Jornalista Djalma Andrade, 46, Belvedere/ Ponta B: Rua Aquiles Lobo, 111, Floresta - BH/MG",Concluído,,08/02/2012,"4.480,20",,,"4.480,20","4.480,20",,,"4.480,20",Ok,"0,00"
OS044/2012,Mário,Implantação,03/02/2012,,14,17/02/2012,Connect Flex,1 Mbps,,Hermes Pardini,,Implantação de Connect Flex entre matriz na rua Aymores e  unidade nova no Prado," Ponta A: Rua Aymorés, 66, 5º andar, Funcionários - BH/MG/Ponta B: Rua Tompson Flores, 222, Prado - BH/MG",Concluído,,29/03/2012,"2.816,57","540,00","801,50","4.158,07","2.446,10",,"967,84","3.413,94",Ok,"744,13"
OS045/2012,Mário,Implantação,06/02/2012,,5,11/02/2012,Fibra Apagada,,,Compuline,Telefonica,Implantação de Fibra apagada ente a Telefônica e Ativas,"Ponta A: Cláudio manuel, 69, Funcionários - BH/MG/ Ponta B: Rua Agenério Araújo, 20, Camargos - BH/MG",Concluído,,10/02/2012,"669,20","1.775,00",,"2.444,20",,,,"0,00",Incompleta,"2.444,20"
OS046/2012,Mário,Implantação,06/02/2012,,5,11/02/2012,Fibra Apagada,,,Compuline,Telefonica,Implantação de Fibra Apagada entre Vivo e Ativas.,"Ponta A: Rua Martin de Carvalho, 691, Sto Agostinho - BH/MG / Ponta B: Ativas",Concluído,,10/02/2012,"1.621,20","445,00","420,00","2.486,20","1.176,16",,"520,00","1.696,16",Ok,"790,04"
OS047/2012,Mário,Implantação,06/02/2012,,5,11/02/2012,Co-location,,,Compuline,,Instalação Co-location Compuline (PPI) datacenter Telbrax.,"Ponta A: Rua Pirapetinga, 322, sl 309, Serra - BH/MG",Concluído,,15/02/2012,"47,00",,,"47,00","47,00",,,"47,00",Ok,"0,00"
OS048/2012,Mário,Mudança de endereço,08/02/2012,,9,17/02/2012,IP Flex,5 Mbps,,JASPER DESIGN AUTOMATION DO BRASIL INFORMATICA E MICROELETRONICA LTDA,,Mudança de endereço da Jasper (IP Flex),"Ponta A(atual):Rua Desembargador Jorge Fontana,476/4º andar, Belvedere/ Ponta A: (novo endereço): Rua Desembargador Jorge Fontana, 50, 12º andar, Belvedere - BH/MG",Concluído,,22/02/2012,"3.046,40","425,00","976,20","4.447,60","1.497,84",,"915,75","2.413,59",Ok,"2.034,01"
OS049/2012,Mário,Fornecimento de Equipamento,08/02/2012,,0,08/02/2012,,,,Banco BMG,,Locação de 1 roteador Cisco 1841 para o Banco BMG.,"Ponta A: Av. Alvares Cabral, 1707, Santo Agostinho - BH/MG / Ponta B: Rua Jaceguai, 300, Prado, BH-MG",Concluído,,15/02/2012,"750,00",,,"750,00","750,00",,,"750,00",Ok,"0,00"
OS050/2012,Mário,Implantação,08/02/2012,,29,08/03/2012,EILD,100 Mbps,,Intelig Telecomunicações Ltda,AEC Centro de Contatos S/A,Implantação de EILD 100 Mbps para atendimento a Intelig/AEC,"Ponta A: Rua Jornalista Geraldo Teixeira da Costa, 61, Floresta/Ponta B: Rua Espirito Santo, 461, Centro - BH/MG",Concluído,,09/02/2012,"1.534,40","0,00","0,00","1.534,40","1.534,40",,,"1.534,40",Ok,"0,00"
OS051/2012,Mário,Mudança de endereço,09/02/20112,,15,24/02/2012,Connect Flex,20 Mbps,,Unimed,,Mudança de endereço da Ponta B do Connect Flex  BHE-07-0001-02-001,"Ponta B(end. antigo): Rua Bonfin, 280, Bonfim/Ponta B(novo end): Rua Espirito Santo, 461, Centro",Concluído,,09/02/2012,"1.530,80",,,"1.530,80","1.530,80",,,"1.530,80",Ok,"0,00"
OS052/2012,Mário,Alteração de serviço,09/02/2012,,0,09/02/2012,Connect Flex,10 Mbps,,Unimed,,Alteração de velocidade do circuito BHE-07-0001-02-001 para 20 Mbps,"Ponta A: Unimed (Sede)/ Ponta B: Rua Espírito Santo, 461, Centro",Concluído,,09/02/2012,"0,00","0,00","0,00","0,00",,,,"0,00",Ok,"0,00"
OS053/2012,Mario,Implantação,17/01/2012,,,18/01/2012,Connect Flex,1Mbps,,Unotel,Telbrax,Ativação de um circuito Clear Channel com a Unotel SP para gerência dos ativos (Clear Channel),"Ponta A: Rua Falcão, 722, Barreiro - BH/MG /  Ponta B: Av. Paulista, 900, centro - São Paulo - SP",Em Execução,"Clear Channel até o POP Unotel Vila Cruzeiro - 04726-170 - São Paulo, SP - Dependente Negociação Diretoria Telbrax/ Eletronet - (OS com Djalma)",,"2.067,75","435,00",,"2.502,75",,,,"0,00",-,"2.502,75"
OS054/2012,Carlos,Infraestrutura,13/02/2012,,,,,,,Telbrax,,Infraestrutura - Instalação do Storage NAS no PRO,,Concluído,,,"2.773,00",,,"2.773,00",,,,"0,00",Incompleta,"2.773,00"
OS055/2012,Carlos,Infraestrutura,13/02/2012,,,,,,,Telbrax,,Infraestrutura - Instalação do Servidor de VPN,,Concluído,,26/01/2012,,"1.200,00",,"1.200,00",,,,"0,00",Ok,"1.200,00"
OS056/2012,Carlos,Infraestrutura,13/02/2012,,,,,,,Telbrax,,Infraestrutura - Instalação dos dois aparelhos de ar condicionado provisórios,,Concluído,,,"3.276,56",,,"3.276,56",,,,"0,00",Incompleta,"3.276,56"
OS057/2012,Carlos,Datacenter,13/02/2012,,,,,,,Superbuy,,Colocation - Instalação dos servidores da Superbuy,,Concluído,,,"1.530,80",,,"1.530,80",,,,"0,00",Incompleta,"1.530,80"
OS058/2012,Carlos,Datacenter,13/02/2012,,,,IP Flex,5Mbps,,Superbuy,,IP Flex - Porta IP 5 Mbps - Cancelada (Ver OS038),,Cancelada,,,"0,00","0,00","0,00","0,00",,,,"0,00",-,"0,00"
OS059/2012,Carlos,Datacenter,13/02/2012,,,,,,,Superbuy,,Serviço de Firewall,,Concluído,,28/01/2012,"1.250,00",,,"1.250,00","1.250,00",,,"1.250,00",Ok,"0,00"
OS060/2012,Carlos,Datacenter,13/02/2012,,,,,,,Superbuy,,Connect Flex de 10 Mbps,,Suspensa,Carlos,,"1.200,00",,,"1.200,00",,,,"0,00",-,"1.200,00"
OS061/2012,Carlos,Datacenter,13/02/2012,,,,,,,Superbuy,,Serviço de Backup via NAS (área de 1 a 2 TB),,Cancelada,,,"0,00","0,00","0,00","0,00",,,,"0,00",-,"0,00"
OS062/2012,Carlos,Datacenter,13/02/2012,,,,,,,Superbuy,,Serviço de Monitoração Nagios,,Concluído,,,"1.200,00",,,"1.200,00",,,,"0,00",Incompleta,"1.200,00"
OS063/2012,Carlos,Datacenter,13/02/2012,,,,,,,Superbuy,,Serviço de Monitoração Cacti,,Cancelada,O monitoramento do circuito foi feito pelo cacti da Telbrax entrando na OS do circuito,,"0,00","0,00","0,00","0,00",,,,"0,00",-,"0,00"
OS064/2012,Carlos,Datacenter,13/02/2012,,,,,,,Superbuy,,Serviços Especializados - Oracle,,Concluído,,,,,"1.870,00","1.870,00",,,,"0,00",Incompleta,"1.870,00"
OS065/2012,Carlos,Datacenter,13/02/2012,,,,,,,Superbuy,,"Serviços Especializados - Administração de Sistemas (Windows, Solaris, VMWare)",,Concluído,,,,,"2.310,00","2.310,00",,,,"0,00",Incompleta,"2.310,00"
OS066/2012,Carlos,Datacenter,13/02/2012,,,,,,,Superbuy,,"Locação da ""Workroom"" (inclui disponibilização dos pontos de tomada na sala de reunião do 3o andar)",,Concluído,,,"0,00","0,00","0,00","0,00",,,,"0,00",Ok,"0,00"
OS067/2012,Mário,Alteração de serviço,10/02/2012,,0,10/02/2012,Connect Flex,350 Mbps,,WKVE,,Upgrade de connect flex de 100 Mbps para 350 Mbps,Ponta A: POP Serra do Curral/ Ponta B: POP WKVE Engenho Nogueira,Concluído,,13/02/2012,"0,00","0,00","0,00","0,00",,,,"0,00",Ok,"0,00"
OS068/2012,Mário,Implantação,13/02/2012,,25,09/03/2012,IP Flex,10 Mbps,/29,Laboratório São Marcos,,Implantação de IP Flex ,"Ponta A: Rua Pará de Minas, 1035, Padre Eustáquio - BH/MG",Concluído,,16/03/2012,"0,00","0,00","0,00","0,00",,,,"0,00",Ok,"0,00"
OS069/2012,Mário,Implantação,13/02/2012,,25,09/03/2012,Connect Flex Multi,10 Mbps,,Laboratório São Marcos,,Implantação Connect Flex rota principal que terá dupla abordagem,"Ponta A: Rua Pará de Minas, 1035, Padre Eustáquio - BH/MG",Concluído,,16/03/2012,"5.455,46","900,00","1.897,60","8.253,06","4.880,56","900,00","2.235,50","8.016,06",Ok,"237,00"
OS070/2012,Mário,Cancelamento,13/02/2012,,0,13/02/2012,IP FLex,16 Mbps,,T4F,,Os para cancelamento do IP Flex temporário e retirada de equipamentos.,"Av. Clóvis Salgado, s/n, Pampulha - BH/MG",Concluído,,13/02/2012,"0,00","0,00","0,00","0,00",,,,"0,00",Ok,"0,00"
OS071/2012,Mário,Implantação,13/02/2012,,11,24/02/2012,EILD,2 Mbps,,CTBC,Colégio Batista,OS para implantação de EILD para atendimento CTBC/Colégio Batista,"Ponta A: Av. Do contorno, 5351, POP ASTECA/ Ponta B: Rua Ponte Nova, 728, Floresta. Cep: 31.110-150",Cancelada,,13/02/2012,"0,00","0,00","0,00","0,00",,,,"0,00",-,"0,00"
OS072/2012,Mário,Implantação,13/02/2012,,25,09/03/2012,Connect Flex Multi,10 Mbps,,Laboratório São Marcos,,Implantação  de ponta B,"Ponta B: Av. do Contorno, 9797, Prado",Concluído,,16/03/2012,"4.434,07","345,00","1.086,80","5.865,87","1.199,89",,"1.068,25","2.268,14",Ok,"3.597,73"
OS073/2012,Mário,Implantação,13/02/2012,,25,09/03/2012,Connect Flex,10 Mbps,,Laboratório São Marcos,,Implantação de rota redundante,"Ponta A: Rua Pará de Minas, 1035, Padre Eustáquio - BH/MG/ Ponta B: Av. do Contorno, 9797, Prado",Cancelada,,,"0,00","0,00","0,00","0,00",,,,"0,00",-,"0,00"
