#OS,Criado por,Tipo OS,Dt Criação,Viabilidade/PE,Prazo,Prev Entrega,Produto,Velocidade,#IPs,Cliente,Usuário Final,Projeto,Usuário/Endereço Atendido,Status,Obs Status,Data de entrega,Materiais,Serv Telbrax,Serv Terceiros,Custo Total,Materiais,Serv Telbrax,Serv Terceiros,Custo Total,Dados Completos?,Diferença de Custo
OS242/2012,Wendell,Implantação,24/05/2012,PE053/2012,,,Swap,,,Transit,Transit,Implantação de Rede Gpon Swap Transit,"Ponta A: Rua Rio Grande do Norte, 726 - Ponta B: Av. do Contorno 7287",Planejamento,,,,,,"0,00",,,,"0,00",-,"0,00"
OS243/2012,Wendell,Implantação,24/05/2012,PE053/2012,,,Swap,,,Transit,Transit,Implantação de Rede Gpon Swap Transit,"Ponta A: Rua Rio Grande do Norte, 726 - Ponta B: Rua Bernardo Guimarães c/ Av. Alvares Cabral",Planejamento,,,,,,"0,00",,,,"0,00",-,"0,00"
OS244/2012,Wendell,Implantação,24/05/2012,PE053/2012,,,Swap,,,Transit,Transit,Implantação de Rede Gpon Swap Transit,"Ponta A: Rua Rio Grande do Norte, 726 - Ponta B: Paracatu entre Juiz de Fora e Rua dos Timbiras",Planejamento,,,,,,"0,00",,,,"0,00",-,"0,00"
OS245/2012,Wendell,Implantação,24/05/2012,PE053/2012,,,Swap,,,Transit,Transit,Implantação de Rede Gpon Swap Transit,"Rua dos Guajajaras, 310",Planejamento,,,,,,"0,00",,,,"0,00",-,"0,00"
OS246/2012,Wendell,Implantação,24/05/2012,PE053/2012,,,Swap,,,Transit,Transit,Implantação de Rede Gpon Swap Transit,"Rua Goiás, 41",Planejamento,,,,,,"0,00",,,,"0,00",-,"0,00"
OS247/2012,Wendell,Implantação,24/05/2012,PE053/2012,,,Swap,,,Transit,Transit,Implantação de Rede Gpon Swap Transit,"Rua da Bahia, 951",Planejamento,,,,,,"0,00",,,,"0,00",-,"0,00"
OS248/2012,Wendell,Implantação,24/05/2012,PE053/2012,,,Swap,,,Transit,Transit,Implantação de Rede Gpon Swap Transit,"Rua Goitacazes, 71",,,,,,,"0,00",,,,"0,00",-,"0,00"
OS249/2012,Wendell,Implantação,24/05/2012,PE053/2012,,,Swap,,,Transit,Transit,Implantação de Rede Gpon Swap Transit,"Rua Tamoios, 311",Planejamento,,,,,,"0,00",,,,"0,00",-,"0,00"
OS250/2012,Wendell,Implantação,24/05/2012,PE053/2012,,,Swap,,,Transit,Transit,Implantação de Rede Gpon Swap Transit,"Rua Rio de Janeiro, 600",Planejamento,,,,,,"0,00",,,,"0,00",-,"0,00"
OS251/2012,Wendell,Implantação,24/05/2012,PE053/2012,,,Swap,,,Transit,Transit,Implantação de Rede Gpon Swap Transit,"Rua São Paulo, 900",Planejamento,,,,,,"0,00",,,,"0,00",-,"0,00"
OS252/2012,Wendell,Implantação,24/05/2012,PE053/2012,,,Swap,,,Transit,Transit,Implantação de Rede Gpon Swap Transit,"Av. Afonso Pena, 726",Planejamento,,,,,,"0,00",,,,"0,00",-,"0,00"
OS253/2012,Wendell,Implantação,24/05/2012,PE053/2012,,,Swap,,,Transit,Transit,Implantação de Rede Gpon Swap Transit,"Rua Tamoios, 726",Planejamento,,,,,,"0,00",,,,"0,00",-,"0,00"
OS254/2012,Wendell,Implantação,24/05/2012,PE053/2012,,,Swap,,,Transit,Transit,Implantação de Rede Gpon Swap Transit,"Pça Milton Campos, 16",Planejamento,,,,,,"0,00",,,,"0,00",-,"0,00"
OS255/2012,Wendell,Implantação,24/05/2012,PE053/2012,,,Swap,,,Transit,Transit,Implantação de Rede Gpon Swap Transit,"Av. do Contorno, 4835",Planejamento,,,,,,"0,00",,,,"0,00",-,"0,00"
OS256/2012,Wendell,Implantação,24/05/2012,PE053/2012,,,Swap,,,Transit,Transit,Implantação de Rede Gpon Swap Transit,"Rua Rio Grande do Norte, 1164",Planejamento,,,,,,"0,00",,,,"0,00",-,"0,00"
OS257/2012,Wendell,Implantação,24/05/2012,PE053/2012,,,Swap,,,Transit,Transit,Implantação de Rede Gpon Swap Transit,"Av. Raja Gabaglia, 1781",Planejamento,,,,,,"0,00",,,,"0,00",-,"0,00"
OS258/2012,Wendell,Implantação,24/05/2012,PE053/2012,,,Swap,,,Transit,Transit,Implantação de Rede Gpon Swap Transit,"Av. do Contorno, 7287",Planejamento,,,,,,"0,00",,,,"0,00",-,"0,00"
OS259/2012,Wendell,Implantação,24/05/2012,PE053/2012,,,Swap,,,Transit,Transit,Implantação de Rede Gpon Swap Transit,"Rua Bernardo Guimarães, 2258",Planejamento,,,,,,"0,00",,,,"0,00",-,"0,00"
OS260/2012,Wendell,Implantação ,23/05/2012,PE053/2012,,,Swap,,,Transit,Transit,Implantação de Rede Gpon Swap Transit,"Rua Juiz de Fora, 513",Planejamento,,,,,,"0,00",,,,"0,00",-,"0,00"
OS261/2012,Mário,Implantação,24/05/2012,,20,13/06/2012,Connect Flex,1 Mbps,,Vetta Technologies,,Implantação de Connect Flex entre Vetta e Unimed,"Ponta A: Rua Alameda da Serra, 400, Vale do Sereno, Conj 701 - Nova Lima - MG/Ponta b: Av. Francisco Sales, 1483, Sta Efigênia - BH/MG",Planejamento,,,,,,"0,00",,,,"0,00",-,"0,00"
OS262/2012,Mário,Implantação,28/05/2012,,15,12/06/2012,IP Flex,20 Mbps,,Alol Telecom,,Implantação de IP Flex 20 Mbps,"Ponta A: Av. Raja Gabáglia, 1001 - Luxemburgo - Belo Horizonte/MG",Planejamento,,,,,,"0,00",,,,"0,00",-,"0,00"
OS263/2012,Mário,Implantação,28/05/2012,,15,12/06/2012,Fibra Apagada,,,Unimed-BH,,Implantação de fibra apagada entre a unidade churchil e Sede,"Ponta A: Av. Francisco Sales, 1483, Sta Efigênia/ Ponta B: Av. Churchil, 36, Sta Efigênia - BH/MG",Planejamento,,,,,,"0,00",,,,"0,00",-,"0,00"
OS264/2012,Mário,Implantação,28/05/2012,,25,22/06/2012,Connect Flex,1 Mbps,,Hermes Pardini,,Implantação da unidade bairro Industrial,"Ponta A; Rua Aymorés, 66, 5º andar Ponta / B: Av. JK, 855, loja 01 e 02, bairro Industrial - Contagem/MG",Planejamento,,,,,,"0,00",,,,"0,00",-,"0,00"
OS265/2012,Mário,Implantação,28/05/2012,,25,22/06/2012,Connect Flex,1 Mbps,,Hermes Pardini,,Implantação de Connect Flex na unidade bairro milionários,"Ponta A; Rua Aymorés, 66, 5º andar Ponta / B: Rua Pirri, 228, loja 01, Bairro Milionários - BH/MG",Planejamento,,,,,,"0,00",,,,"0,00",-,"0,00"
OS266/2012,Mário,Mudança de endereço,28/05/2012,PE204/2012,35,02/07/2012,Fibra Apagada,,,Unimed,,Mudança de endereço ponta B,"Ponta  B(antiga): Sede / Ponta B(novo): Av. Pedro I, 2899, venda nova - BH/MG",Planejamento,,,,,,"0,00",,,,"0,00",-,"0,00"
OS267/2012,Djalma,Manutenção,29/05/2012,,5,04/06/2012,,,,Telbrax Ltda,,Execução de testes de bobinas sem uso no almoxarifado,"Rua Santa Alexandrina, 53 - Milionários",Em execução,,,,,,"0,00",,,,"0,00",-,"0,00"
OS268/2012,Djalma,Manutenção,29/05/2012,,5,04/06/2012,,,,Telbrax Ltda,,Rearranjo de rede devido a troca de poste no local,"Av. do Contorno, 5623",Concluído,,28/05/2012,"67,05",,"327,00","394,05","11,75",,"320,00","331,75",Ok,"62,30"
OS269/2012,Mário,Implantação,29/05/2012,,,04/06/2012,Connect Flex,10 Mbps,,Unimed ,,Implantação de link provisório de rádio. Este link ficará ativo até 02/07 quando a fibra definitiva será ativada.,"Ponta  B(antiga): Sede / Ponta B(novo): Av. Pedro I, 2899, venda nova - BH/MG",,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
,,,,,,,,,,,,,,,,,,,,"0,00",,,,"0,00",-,"0,00"
